Serial_number:
2091494
Project ID:
S2
Location:
44
LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
5/3/2019,04:11:13 pm,0,10.253,0.90
5/3/2019,04:41:13 pm,0,10.251,0.90
5/3/2019,05:11:13 pm,0,10.250,0.90
5/3/2019,05:41:13 pm,0,10.250,0.90
5/3/2019,06:11:13 pm,0,10.251,0.90
5/3/2019,06:41:13 pm,0,10.251,0.90
5/3/2019,07:11:13 pm,0,10.250,0.90
5/3/2019,07:41:13 pm,0,10.247,0.90
5/3/2019,08:11:13 pm,0,10.245,0.90
5/3/2019,08:41:13 pm,0,10.244,0.90
5/3/2019,09:11:13 pm,0,10.242,0.90
5/3/2019,09:41:13 pm,0,10.245,0.90
5/3/2019,10:11:13 pm,0,10.245,0.90
5/3/2019,10:41:13 pm,0,10.245,0.90
5/3/2019,11:11:13 pm,0,10.244,0.90
5/3/2019,11:41:13 pm,0,10.244,0.90
5/4/2019,12:11:13 am,0,10.242,0.90
5/4/2019,12:41:13 am,0,10.239,0.90
5/4/2019,01:11:13 am,0,10.239,0.90
5/4/2019,01:41:13 am,0,10.238,0.90
5/4/2019,02:11:13 am,0,10.235,0.90
5/4/2019,02:41:13 am,0,10.230,0.90
5/4/2019,03:11:13 am,0,10.227,0.90
5/4/2019,03:41:13 am,0,10.226,0.90
5/4/2019,04:11:13 am,0,10.226,0.90
5/4/2019,04:41:13 am,0,10.223,0.90
5/4/2019,05:11:13 am,0,10.221,0.90
5/4/2019,05:41:13 am,0,10.220,0.90
5/4/2019,06:11:13 am,0,10.220,0.90
5/4/2019,06:41:13 am,0,10.220,0.90
5/4/2019,07:11:13 am,0,10.220,0.90
5/4/2019,07:41:13 am,0,10.218,0.90
5/4/2019,08:11:13 am,0,10.215,0.90
5/4/2019,08:41:13 am,0,10.215,0.90
5/4/2019,09:11:13 am,0,10.212,0.90
5/4/2019,09:41:13 am,0,10.214,0.90
5/4/2019,10:11:13 am,0,10.212,0.90
5/4/2019,10:41:13 am,0,10.211,0.90
5/4/2019,11:11:13 am,0,10.214,0.90
5/4/2019,11:41:13 am,0,10.214,0.90
5/4/2019,12:11:13 pm,0,10.212,0.90
5/4/2019,12:41:13 pm,0,10.211,0.90
5/4/2019,01:11:13 pm,0,10.214,0.90
5/4/2019,01:41:13 pm,0,10.215,0.90
5/4/2019,02:11:13 pm,0,10.218,0.90
5/4/2019,02:41:13 pm,0,10.221,0.90
5/4/2019,03:11:13 pm,0,10.220,0.90
5/4/2019,03:41:13 pm,0,10.217,0.90
5/4/2019,04:11:13 pm,0,10.214,0.90
5/4/2019,04:41:13 pm,0,10.212,0.90
5/4/2019,05:11:13 pm,0,10.215,0.90
5/4/2019,05:41:13 pm,0,10.215,0.90
5/4/2019,06:11:13 pm,0,10.217,0.90
5/4/2019,06:41:13 pm,0,10.217,0.90
5/4/2019,07:11:13 pm,0,10.218,0.90
5/4/2019,07:41:13 pm,0,10.217,0.90
5/4/2019,08:11:13 pm,0,10.215,0.90
5/4/2019,08:41:13 pm,0,10.215,0.90
5/4/2019,09:11:13 pm,0,10.217,0.90
5/4/2019,09:41:13 pm,0,10.217,0.90
5/4/2019,10:11:13 pm,0,10.215,0.90
5/4/2019,10:41:13 pm,0,10.214,0.90
5/4/2019,11:11:13 pm,0,10.212,0.90
5/4/2019,11:41:13 pm,0,10.211,0.90
5/5/2019,12:11:13 am,0,10.211,0.90
5/5/2019,12:41:13 am,0,10.212,0.90
5/5/2019,01:11:13 am,0,10.212,0.90
5/5/2019,01:41:13 am,0,10.211,0.90
5/5/2019,02:11:13 am,0,10.211,0.90
5/5/2019,02:41:13 am,0,10.211,0.90
5/5/2019,03:11:13 am,0,10.211,0.90
5/5/2019,03:41:13 am,0,10.212,0.90
5/5/2019,04:11:13 am,0,10.212,0.90
5/5/2019,04:41:13 am,0,10.211,0.90
5/5/2019,05:11:13 am,0,10.211,0.90
5/5/2019,05:41:13 am,0,10.209,0.90
5/5/2019,06:11:13 am,0,10.212,0.90
5/5/2019,06:41:13 am,0,10.215,0.90
5/5/2019,07:11:13 am,0,10.221,0.90
5/5/2019,07:41:13 am,0,10.224,0.90
5/5/2019,08:11:13 am,0,10.227,0.90
5/5/2019,08:41:13 am,0,10.226,0.90
5/5/2019,09:11:13 am,0,10.226,0.90
5/5/2019,09:41:13 am,0,10.227,0.90
5/5/2019,10:11:13 am,0,10.229,0.90
5/5/2019,10:41:13 am,0,10.227,0.90
5/5/2019,11:11:13 am,0,10.229,0.90
5/5/2019,11:41:13 am,0,10.229,0.90
5/5/2019,12:11:13 pm,0,10.229,0.90
5/5/2019,12:41:13 pm,0,10.230,0.90
5/5/2019,01:11:13 pm,0,10.229,0.90
5/5/2019,01:41:13 pm,0,10.224,0.90
5/5/2019,02:11:13 pm,0,10.227,0.90
5/5/2019,02:41:13 pm,0,10.226,0.90
5/5/2019,03:11:13 pm,0,10.227,0.90
5/5/2019,03:41:13 pm,0,10.226,0.90
5/5/2019,04:11:13 pm,0,10.227,0.90
5/5/2019,04:41:13 pm,0,10.229,0.90
5/5/2019,05:11:13 pm,0,10.229,0.90
5/5/2019,05:41:13 pm,0,10.230,0.90
5/5/2019,06:11:13 pm,0,10.232,0.90
5/5/2019,06:41:13 pm,0,10.233,0.90
5/5/2019,07:11:13 pm,0,10.235,0.90
5/5/2019,07:41:13 pm,0,10.238,0.90
5/5/2019,08:11:13 pm,0,10.241,0.90
5/5/2019,08:41:13 pm,0,10.248,0.90
5/5/2019,09:11:13 pm,0,10.254,0.90
5/5/2019,09:41:13 pm,0,10.259,0.90
5/5/2019,10:11:13 pm,0,10.263,0.90
5/5/2019,10:41:13 pm,0,10.265,0.90
5/5/2019,11:11:13 pm,0,10.269,0.90
5/5/2019,11:41:13 pm,0,10.272,0.90
5/6/2019,12:11:13 am,0,10.274,0.90
5/6/2019,12:41:13 am,0,10.275,0.90
5/6/2019,01:11:13 am,0,10.278,0.90
5/6/2019,01:41:13 am,0,10.280,0.90
5/6/2019,02:11:13 am,0,10.281,0.90
5/6/2019,02:41:13 am,0,10.281,0.90
5/6/2019,03:11:13 am,0,10.281,0.90
5/6/2019,03:41:13 am,0,10.283,0.90
5/6/2019,04:11:13 am,0,10.284,0.90
5/6/2019,04:41:13 am,0,10.286,0.90
5/6/2019,05:11:13 am,0,10.289,0.90
5/6/2019,05:41:13 am,0,10.290,0.90
5/6/2019,06:11:13 am,0,10.292,0.90
5/6/2019,06:41:13 am,0,10.295,0.90
